,song,group,lyrics,source
100,Change,(G)I-DLE,"Wanna live my life like yesterday Never feeling down, never feeling down Woke up in another new day Something has changed, don't feel the same Alone, hearing voices in my head Thought that I had it all, but it feels like nobody cares, nobody cares In a Tiffany dress, get off from white Ben Walk the red carpet, a bright flash All the world's attention, countless fans Yes, you're full of love It's the life you've dreamed of every day And the life without dreams What more great things to have ? Will you be happy? It's a curious night Love and fame, it seems to be enough When the truth is not that beautiful Tears and pain are things I've never shown No one knows, no one knows, no one knows They think I'm okay, think I' m okay Wanna live my life like yesterday Never feeling down, never feeling down In the clouds, just stay there everyday Never coming down, never coming down Life has ups and downs, just realized Nothing lasts forever, yeah One day, if I fall, would you smile And say you'll be there for me?  I've been lying awake these days Can't get away, everyone changes Every time you smile, don't you pretend Ask myself every night and realize things won't be the same, won't be the same Love and fame , it seems to be enough When the truth is not that beautiful Tears and pain are things I've never shown No one knows, no one knows, no one knows That I'm not okay, I'm not okay Wanna live my life like yesterday Never feeling down, never feeling down In the clouds, just stay there everyday Never coming down, never coming down Life has ups and downs, it's alright Nothing lasts forever, yeah One day I will fall, can't deny But I know you won't leave Wanna live my life like yesterday Never feeling down, never feeling down In the clouds, just stay there everyday Never coming down, never coming down",0
101,You Were Beautiful,DAY6,"This is not that we're not going to start again. I just remembered your remaining memories.The voice that gave me that eyes -Da -all of them were pretty for me, and I felt that I didn't want to see more.Even if you talk, you've never passed. You've been thinking of me first.Everything was pretty for me, I felt like I didn't want to have more moments -it's over -but you were so pretty.I know that it was a movie that had already been over, and I was looking at the last day.It was so pretty",0
102,BOOM,NCT DREAM,"WORK  COME ON STAGE (Let's Go) My sweat is a Negen Heavy Rain (Woo!) Ride on the stage of Hot and Shine.I don't have time to give me the process, I want to run more freely like me, and I want it to be more freely, and we rolling I become your dream and dream passageway.Dun Don Ain Now laughs at this track Oh we got that boom, boom, boo-oom, boom, boom boom, boom, boo-so, boomWe got that) boom, boom, boo-oom, boom, boom (we like that) Throw me, wake you up and show me what you got results.The winner fear of all stories is ZERO, on the contrary, I remember to wait for the enemy to wait for the VIP of all the lights to 100 kilometers per hour.I want to have a more irritating trembling that is shouted at a minute, and we want more high we rolling (wer rolling) I am your dream and a passage to reach your dream.Now, I smiled and smiled at your heart and shed light on your heart oh we got that boom, boom, boo-so-m, Boom, Boom Boom, BOOM, Boo-MOOM, BOOM, BOOM, BOOMOM, BOOM (Yeah, We Got That) Boom, BOOM, BOOM, BOO-MOOM, BOOM (We Like That) Throw me, wake you up and show me what you got results.Cold eyes, you can know everything (know) We can afford it (we) (we) (we) My dream has become a reality, and now I'm free to be your dream and dream passage, so you can hold your dreams in your hand.Ain, who sang in pure voice now, smiles (Oh, Oh yeah) on the track, Oh we got that boom, boom, boo-so, boomBoo-om, BOOM, BOOM (yeah, we got that) Boom, Boom, Boo-om, Boom, Boom (We like that) Throw me, wake you up and show me what you got results.now",0
103,CALL ME BABY,EXO,"(Call me, Baby) Call Me, Baby people are all between Namiya (call me, Baby).Hey, Girl Eternal (the moment of destiny) I broke through me for a moment and (like lightning) and called me my name and came to me and came to me and filled you up like a flashlight.Look oh, I don't care or far away, I will be a single man like this.There are a lot of shining things (a lot) see the real (look) in it (see) Call me, Baby, Ba-, Call Me, Baby (OH) Call Me, Baby, Ba-, Call Me, Baby (You Know My Name)Heart that grew up (Mind) You closed the door (you know I'm here) (you know I'm here, girl) Call me, Baby, Ba-, Call Me, Baby Call Me, Baby, Ba-, Call Me,Baby a few times, call me, girl made me as me, and my world is only, you are the one, you 'the one girl, you are the one of the one.(Look) (You know my name, girl) Call me, Baby, Ba-, Call Me, Baby Call Me, Baby, Ba-, Call Me, BabyAnyone who says anything (call me, Baby) You all show that faith, and all of you have changed and you leave me, but you can hold my own hands., Baby, Ba-, Call Me, Baby Call Me, Baby, Ba-, Call Me, Baby (You KnowmY name, girl) Mind that has grown towards you (Mind) You close the door (closely) (you know I'm here, girl) Call me, Baby, Ba-, Call Me, Baby Call Me, Baby, Baby Call Me, Baby,Ba-, Call Me, Baby OH, who was trapped in the dark maze, I heard four voices that woke me (in the dark) and made me rebirth, yeah e-x-o, listen (baby, baby, baby)If you have not missed the light that will lead the day, you will not miss you (What Up?)Only one person (OH) GIRL, You're the one I want (You're the one I i I i I i I WONT)Want, hey) There are many shining things (many) see the real (see) Call me, Baby, Ba-, Call Me, Baby Call Me, Baby (I'm Your Baby, Yeah) (You Know My Name,GIRL) OOH You know I'm here (girl) My world is only, you 'the one, you' the one (you 'the one that I want) Girl, youOne i want There are a lot of shining things (a lot) see the real (look) Call me, Baby, Ba-, Call Me, Baby (OH) Call Me, Baby, Ba-, Call Me, Baby, Girl",0
104,Still Life,BIGBANG,"The following year's spring night's summer night's dream of falling the winter, the winter of the year again, I have been in spring four times a year.END As if it was ridiculously ridiculously ridiculed the iron and iron of the seven -colored rainbow without ironing, it was so good on the iron land, and the long -lasting marchin 'Vivaldi, Tchaikovsky Today's four seasons, and the four seasons were not looking at the sky.I'm living, and Goodbye, who left, the man who left the head of the head of the head, and I left the traffic of the inspiration of the inspiration, and the new round -trip, which is a new round -up, to risk his life, is better and even better, better, even better morning dew (the morning dew)In me, I buried me in anger in me, and I missed the smiling boy and girl who cried for life, do it away, away, and away.For the day that the day will come back someday, we will be beautiful (for you), our spring summer autumn winter, La-La-La-La, La-La-La, La, La, La, La-La-La-La, La-La-La, La, La La, La-La-La, La-La-La, La, La La, La-La-La-La, La-La-La-LA, LA, Los Angeles Spring Spring Spring Spring Spring Spring Spring Summer Summer Summer Winter (Wu)",0
105,MAISON,Dreamcatcher,"Tomorrow, which is short and disappears far away, OH, and stayed the land, and someone familiar with it is OH.Night, deep into you Break Your Habit Now Save My Home in the Jungle, Save My Home in the Polar Find My Mai Home in the OceanMy MAISON (Please, Someone Fight for Us) people do not want to do it, but I just feel emptying, and I know I'm already late when I regret it in an invisible future.(be my side) Is it strange?The laws of this planet are the same as the Mala's conscience, Hoo oh day, I can't fool anymore, I know everything, follow the rain under the dark cloud, all night, all nightSave my home in the polar protection of my Maison (please, business for us) Save home in the ocean, be my home in the desert.My tears flowed down to the moment where all the seasons are shown, Save My Home in the Jungle, Save My Home in the Polar.Save my home in the desert, keep my Maison (please, some fighter for us) and disappear as soon as it has passed by (La Maison, La, La, La Maison, La, La, La, La MAISON)La, La Maison) Save My Home in the Jungle, Save My Home in the Polar (La Maison, La, La, La Maison) Save My Home in the Ocean, Save My Home in the Desert (La Maison)For us",0
106,Egotistic,MAMAMOO,"I'm not your satellite your week, but you don't have the sun, so you shouldn't be the center of your own way.Yes, it's a natural thing that's just a foolish way to bother me.I'm angry with my mouth, so you can only do your mouth (BRRRA) I'm always a nana Nana Nana Hae Nana Hagiya Tiya Tiya.I can't roll it up, but I have a little bit of AY night. My cold hair is not understanding your attitude. Now I'm tired of me. Now I'm not going to take care of me.Okay Man This way, it's repeated every day and if you have your rights in my favor (favor), it's something wrong.Hae Hae -tiya Tiya Tiya, you can center your way, and if you think about you, you will be awkward.I'm a Lady, I don't stay by go on go on my way.I'm angry, so I only get my mouth. I'm always going to do it bicho malo. I'm always a nana Nana Nana Hagiya Tiya Tiya Tiya.It's not fun to be fun (I'm so nargus) Now it's done (I'm so narcissistic) (I do it) (I do it).",0
107,Day 1,Red Velvet,"I felt awkward and excited about my first school uniform last night.Don't miss it, love, love, love, whisper before falling asleep. As much as you want, hug me as much as I waited, save me, save me  I've been so excited for the first time.It's hot, it's hot, kiss, kiss, kiss, don't forget a single day, and whisper before falling asleep.Yeah is not lonely alone, I'll be stuck next to you so that they're not sad., I want to meet again tomorrow, as much as you want, hug me as much as I waited, I love you",0
108,Ko Ko Bop,EXO,"Shimmie shimmie ko bop I like I like IT tension is a down down and I get into the dizzy mind, and I get used to it as if I'm familiar with it.Yeah yeah forgot of my obvious appearance and the instinct that I hidden today is shimmie up it gos down download IT Goes Down Down Baby. shimmie shimmie ko bop I like I like IT little by little Down Down, and no matter who is shy, you don't worry about it.Ah Woo Last night. AH Woo's nights are the only nights of the night. Don't be nervous, and yeah yeah You can leave everything to me yeah yeah.Leave the Down Baby and shout oh We Break it Down Now  Hey! We go down now  (Listen!)  The night is deeper, and your eyes are more shining to me.It's about to go go go go go go to rhythm IT gos down down baby and shout oh going ko bop download",0
109,Cherry Bomb,NCT 127,"Quickly avoid Right, cherry bomb, Feel it, yum quickly, right, cherry bomb, Feel it, yum faster right, cherry bomb, Feel it, yum quickly avoidingM THE BIGGEST HIT, I'm the Biggest Hit on the Stage I'm the Biggest HitBiggest Hit, I'm the Biggest Hit on this Stage time, must be in front of I'm going to wait in front of the waiting room.I'll just burst EVERYWHERE STORRY BOMB I feel when I swallow me, I don't know when and when it will burst POPPIN 'Your Head Like Kingsman Chip No Fireman, this is FireworksM THE BIGGEST HIT on this Stage I'm the Biggest Hit, I'm the Biggest Hit on this Stage if you'Re happy, and you know it, clap your hands, yo (in this beat) IFand you know it, clap your hands (in this beat) Quickly avoid right, cherry bomb, Feel it, yum quickly, cherry bomb, Feel it, yum damage quickly, cherry bomb,Feel it, yum quickly avoiding Right, cherry bomb, Feel it, yum I'm the bigger it, I'm the bigger all, shh, the thrill of it testes like a cherry bombYou'll be killed and expanded now, just before the explosion, do-do that, you have to call me, and na-na-NA's safety pins are pulled out.I'm the Biggest Hit, I'm the Biggest Hit on this Stage I'm the Biggest Hitthis beat) if you're happy, and you know it, clap your hands (in this beat) quickly avoids Right, Cherry Bomb, Feel it, yum quickly avoids right, cherry bombLike this) Quickly avoid Right, Cherry Bomb, Feel it, yum quickly where is the end of the Right?How far can I go?(Yeah, yeah) Now, start the half of it back, it's over, I don't want to be trapped in a busy world to be busy, I'm burning me with a single flame.) UH, Hard Rock Scalp, Head SHOT, POP, No TALK's life where I go to life, applause to those who are looking around Ayy, thanks to you, thanks to you.Watching I want to see it all the day, HATER, HATER, TALK TALK anything, you can digest well, take a fist or a gunshot nine, take it cherry bomb I'm the biggest hit, I'm the Biggest Hit onThis Stage I'm the Biggest Hit, I'm the Biggest Hit on this StageAnd you know it, clap you hands if you'e'e'e'e'e''e'e''e''e'''NOU KNOW IT, CLAP Your Hands, Yeah quickly avoids Right, Cherry Bomb, FEEL IT, YUM quickly avoids RIGHT, CHERRY BOMB, FEEL ITYour hands like this) Right, cherry bomb, Feel it, yum quickly avoids Right, Cherry Bomb, Feel it, yum Nana Nanana I'm the Biggest Hit'M The Biggest Hit, I'M The Biggest Hit on this Stage Nanana Nana Nana Right, Cherry BOMB Nanana Nana quickly avoids Right, Cherry Bomb I'm the Biggest Hit, I'm Biggest Hit on This",0
